,cell_id,banksy_leiden_0.7
aalldcfo-1,aalldcfo-1,1
aalljief-1,aalljief-1,1
aallnone-1,aallnone-1,7
aalmkmji-1,aalmkmji-1,7
aalncann-1,aalncann-1,1
aalncpie-1,aalncpie-1,1
aalnjhhi-1,aalnjhhi-1,4
aaloamlj-1,aaloamlj-1,1
aalodicg-1,aalodicg-1,1
aalofook-1,aalofook-1,4
aalooaaf-1,aalooaaf-1,1
aalooppj-1,aalooppj-1,1
aalphgah-1,aalphgah-1,1
aamanojb-1,aamanojb-1,1
aamcipni-1,aamcipni-1,1
aamdmnfd-1,aamdmnfd-1,1
aamdojog-1,aamdojog-1,1
aameajnh-1,aameajnh-1,1
aamecdfa-1,aamecdfa-1,1
aameioij-1,aameioij-1,1
aamfgoec-1,aamfgoec-1,1
aamfiflp-1,aamfiflp-1,1
aamgbcaf-1,aamgbcaf-1,4
aamgkhjm-1,aamgkhjm-1,4
aamhcagn-1,aamhcagn-1,9
aamkmgon-1,aamkmgon-1,1
aamkolcc-1,aamkolcc-1,3
aamlndhh-1,aamlndhh-1,4
aamnfchc-1,aamnfchc-1,4
aampbdeg-1,aampbdeg-1,1
aampikbp-1,aampikbp-1,1
aampmnce-1,aampmnce-1,1
aamppfld-1,aamppfld-1,4
aanabbgd-1,aanabbgd-1,1
aanajmkf-1,aanajmkf-1,1
aanbepod-1,aanbepod-1,1
aanbilda-1,aanbilda-1,1
aancchkm-1,aancchkm-1,1
aancemak-1,aancemak-1,1
aancgeni-1,aancgeni-1,1
aancohli-1,aancohli-1,1
aandcllk-1,aandcllk-1,1
aandcoon-1,aandcoon-1,1
aandjldo-1,aandjldo-1,1
aandkiim-1,aandkiim-1,1
aandoime-1,aandoime-1,1
aaneghfa-1,aaneghfa-1,1
aanejgea-1,aanejgea-1,1
aaneljcj-1,aaneljcj-1,1
aanfcihm-1,aanfcihm-1,1
aanffdbb-1,aanffdbb-1,1
aanggkjl-1,aanggkjl-1,1
aanghokb-1,aanghokb-1,1
aangjlde-1,aangjlde-1,1
aangoohk-1,aangoohk-1,1
aanhdnkm-1,aanhdnkm-1,1
aanheife-1,aanheife-1,1
aanhfnoo-1,aanhfnoo-1,1
aanialih-1,aanialih-1,1
aanimaam-1,aanimaam-1,1
aanjigfm-1,aanjigfm-1,1
aanjlidd-1,aanjlidd-1,1
aanjmfce-1,aanjmfce-1,1
aankomip-1,aankomip-1,1
aanldphg-1,aanldphg-1,1
aanlknab-1,aanlknab-1,1
aanlpijm-1,aanlpijm-1,1
aanmkhdg-1,aanmkhdg-1,1
aanmlcod-1,aanmlcod-1,1
aanndgbf-1,aanndgbf-1,1
aannknkl-1,aannknkl-1,1
aanojmdc-1,aanojmdc-1,1
aanokkia-1,aanokkia-1,4
aanomfdp-1,aanomfdp-1,1
aanpdibn-1,aanpdibn-1,1
aanpdmgf-1,aanpdmgf-1,4
aanpebci-1,aanpebci-1,4
aanpifph-1,aanpifph-1,1
aanpjjko-1,aanpjjko-1,3
aanpmhhl-1,aanpmhhl-1,1
aaoaigpf-1,aaoaigpf-1,1
aaoaohbe-1,aaoaohbe-1,4
aaoapbfj-1,aaoapbfj-1,1
aaobabdn-1,aaobabdn-1,1
aaobcdka-1,aaobcdka-1,1
aaobeafd-1,aaobeafd-1,1
aaobfheh-1,aaobfheh-1,1
aaobfmeb-1,aaobfmeb-1,1
aaobodif-1,aaobodif-1,1
aaobpnng-1,aaobpnng-1,1
aaocaiic-1,aaocaiic-1,1
aaocgmkg-1,aaocgmkg-1,4
aaocnnfd-1,aaocnnfd-1,1
aaodccig-1,aaodccig-1,4
aaodeing-1,aaodeing-1,1
aaodokle-1,aaodokle-1,1
aaoembmp-1,aaoembmp-1,1
aaofjjnj-1,aaofjjnj-1,1
aaogginl-1,aaogginl-1,4
aaoghncg-1,aaoghncg-1,1
aaohhpin-1,aaohhpin-1,4
aaohlpcl-1,aaohlpcl-1,1
aaohmlma-1,aaohmlma-1,1
aaoibhoj-1,aaoibhoj-1,1
aaoidcbf-1,aaoidcbf-1,1
aaoiolnl-1,aaoiolnl-1,1
aaojciek-1,aaojciek-1,1
aaoklnjm-1,aaoklnjm-1,1
aaomomeh-1,aaomomeh-1,1
aaomppci-1,aaomppci-1,1
aaonahee-1,aaonahee-1,1
aaondbbi-1,aaondbbi-1,1
aaonnacj-1,aaonnacj-1,4
aaonpdio-1,aaonpdio-1,1
aaoogeio-1,aaoogeio-1,1
aapacene-1,aapacene-1,1
aapadbbc-1,aapadbbc-1,4
aapaogkf-1,aapaogkf-1,1
aapbdaen-1,aapbdaen-1,1
aapbdpdf-1,aapbdpdf-1,1
aapbpalf-1,aapbpalf-1,1
aapdcncg-1,aapdcncg-1,2
aapdjkpc-1,aapdjkpc-1,2
aapekfig-1,aapekfig-1,2
aapgbael-1,aapgbael-1,2
aapgcneb-1,aapgcneb-1,2
aapgdlah-1,aapgdlah-1,1
aapgejai-1,aapgejai-1,1
aapgfjli-1,aapgfjli-1,1
aapgiibg-1,aapgiibg-1,2
aaphacpp-1,aaphacpp-1,17
aaphdilp-1,aaphdilp-1,17
aaphnpnh-1,aaphnpnh-1,2
aaphpdaa-1,aaphpdaa-1,17
aaphpkic-1,aaphpkic-1,1
aapickim-1,aapickim-1,1
aapicpdn-1,aapicpdn-1,1
aapimbcb-1,aapimbcb-1,1
aapkdhjp-1,aapkdhjp-1,4
aapkgmcn-1,aapkgmcn-1,1
aaplfmao-1,aaplfmao-1,1
aapmipbc-1,aapmipbc-1,1
aapmoimg-1,aapmoimg-1,1
aapnbmmc-1,aapnbmmc-1,3
aapndnoa-1,aapndnoa-1,17
aapnkffe-1,aapnkffe-1,2
aapnpapk-1,aapnpapk-1,17
aapnpdil-1,aapnpdil-1,17
aapobelj-1,aapobelj-1,8
aapolfbb-1,aapolfbb-1,3
aapolljl-1,aapolljl-1,8
aapoocfo-1,aapoocfo-1,1
aappojei-1,aappojei-1,1
abaalilb-1,abaalilb-1,2
ababeail-1,ababeail-1,4
ababhaki-1,ababhaki-1,17
ababkcaf-1,ababkcaf-1,2
