,cell_id,banksy_leiden_0.7
abcalgji-1,abcalgji-1,6
abcbmnpj-1,abcbmnpj-1,5
abcdiihc-1,abcdiihc-1,0
abcdjpli-1,abcdjpli-1,5
abcgaclb-1,abcgaclb-1,6
abcgdnmo-1,abcgdnmo-1,5
abcgofnf-1,abcgofnf-1,0
abchmobh-1,abchmobh-1,6
abcidjme-1,abcidjme-1,20
abcjbbmf-1,abcjbbmf-1,0
abckkcgj-1,abckkcgj-1,20
abckocph-1,abckocph-1,6
abclnika-1,abclnika-1,2
abcmbpgd-1,abcmbpgd-1,5
abcmfjie-1,abcmfjie-1,6
abcngldk-1,abcngldk-1,2
abcnglpg-1,abcnglpg-1,0
abcodfci-1,abcodfci-1,12
abdabbep-1,abdabbep-1,12
abdbmfhd-1,abdbmfhd-1,10
abdeepfk-1,abdeepfk-1,10
abdflcgb-1,abdflcgb-1,10
abdjjfkp-1,abdjjfkp-1,4
abdkeaoi-1,abdkeaoi-1,4
abdkjegk-1,abdkjegk-1,4
abdkkjpg-1,abdkkjpg-1,6
abdmklon-1,abdmklon-1,6
abdmmomd-1,abdmmomd-1,6
abdnnagl-1,abdnnagl-1,0
abdoibii-1,abdoibii-1,8
abdonoco-1,abdonoco-1,8
abdpaanp-1,abdpaanp-1,4
abdpolih-1,abdpolih-1,1
abeaibli-1,abeaibli-1,8
abebhcfo-1,abebhcfo-1,8
abehakld-1,abehakld-1,4
abehfjkc-1,abehfjkc-1,4
abeidhpl-1,abeidhpl-1,8
abeifhmh-1,abeifhmh-1,4
abeiiemm-1,abeiiemm-1,6
abelgeff-1,abelgeff-1,6
abemikoc-1,abemikoc-1,6
abengcak-1,abengcak-1,2
abenmjmp-1,abenmjmp-1,21
abeohmhc-1,abeohmhc-1,0
abeojfha-1,abeojfha-1,2
abfcdnlk-1,abfcdnlk-1,2
abfcjaag-1,abfcjaag-1,0
abfcpnho-1,abfcpnho-1,0
abffdeip-1,abffdeip-1,0
abffhlpm-1,abffhlpm-1,2
abfhjhff-1,abfhjhff-1,2
abfhmcog-1,abfhmcog-1,6
abficcek-1,abficcek-1,11
abfihnag-1,abfihnag-1,11
abfippih-1,abfippih-1,2
abfjedel-1,abfjedel-1,2
abfkkanm-1,abfkkanm-1,2
abfmapjm-1,abfmapjm-1,2
abfnhkem-1,abfnhkem-1,6
abfnohnp-1,abfnohnp-1,12
abfofbig-1,abfofbig-1,12
abfpbmnn-1,abfpbmnn-1,12
abfpogjl-1,abfpogjl-1,12
abgagand-1,abgagand-1,12
abgbgeon-1,abgbgeon-1,12
abgcjcec-1,abgcjcec-1,5
abgdlfpn-1,abgdlfpn-1,3
abgfjnom-1,abgfjnom-1,6
abgfpdho-1,abgfpdho-1,2
abgjcoep-1,abgjcoep-1,5
abgjdncd-1,abgjdncd-1,12
abgkeace-1,abgkeace-1,6
abgldmfm-1,abgldmfm-1,12
abglebja-1,abglebja-1,5
abglfhnb-1,abglfhnb-1,12
abglipbl-1,abglipbl-1,12
abgllknc-1,abgllknc-1,12
abgmpann-1,abgmpann-1,6
abgniadk-1,abgniadk-1,5
abgpeopf-1,abgpeopf-1,5
abgplncn-1,abgplncn-1,5
abhbflki-1,abhbflki-1,6
abhbghjn-1,abhbghjn-1,6
abhbllpn-1,abhbllpn-1,6
abhcbndp-1,abhcbndp-1,8
abhccdib-1,abhccdib-1,8
abhcddap-1,abhcddap-1,8
abhckhoj-1,abhckhoj-1,8
abhechln-1,abhechln-1,8
abhejiml-1,abhejiml-1,8
abhelimd-1,abhelimd-1,8
abheocbn-1,abheocbn-1,8
abhldlcp-1,abhldlcp-1,12
abhmgjng-1,abhmgjng-1,12
abhmlmpg-1,abhmlmpg-1,12
abhnmjnm-1,abhnmjnm-1,12
abhpbjed-1,abhpbjed-1,4
abibbijc-1,abibbijc-1,3
abibbjid-1,abibbjid-1,3
abibgdhf-1,abibgdhf-1,3
abidabph-1,abidabph-1,3
abiecepo-1,abiecepo-1,3
abigihde-1,abigihde-1,8
abijfifl-1,abijfifl-1,10
abijpaoj-1,abijpaoj-1,10
abilddgm-1,abilddgm-1,10
abimpjjj-1,abimpjjj-1,10
abimppih-1,abimppih-1,10
abioicdp-1,abioicdp-1,10
abioidce-1,abioidce-1,8
abiopkle-1,abiopkle-1,10
abjckcej-1,abjckcej-1,10
abjdifap-1,abjdifap-1,10
abjdnfom-1,abjdnfom-1,3
abjdofjn-1,abjdofjn-1,10
abjeglka-1,abjeglka-1,10
abjehehl-1,abjehehl-1,8
abjfobbe-1,abjfobbe-1,4
abjgehip-1,abjgehip-1,4
abjiniea-1,abjiniea-1,4
abjkimnj-1,abjkimnj-1,4
abjkppgl-1,abjkppgl-1,1
abjliaom-1,abjliaom-1,12
abjlpkdc-1,abjlpkdc-1,6
abjmcdlo-1,abjmcdlo-1,12
abjmohhi-1,abjmohhi-1,4
abjmoojp-1,abjmoojp-1,4
abjndmgk-1,abjndmgk-1,4
abjocgel-1,abjocgel-1,4
abkamcmh-1,abkamcmh-1,4
abkconia-1,abkconia-1,4
abkdaice-1,abkdaice-1,4
abkdjima-1,abkdjima-1,12
abkedoic-1,abkedoic-1,6
abkfbjmd-1,abkfbjmd-1,12
abkgjkol-1,abkgjkol-1,12
abkgofjb-1,abkgofjb-1,8
abkgpmbm-1,abkgpmbm-1,6
abkillcd-1,abkillcd-1,6
abkjhcep-1,abkjhcep-1,6
abkjonlb-1,abkjonlb-1,11
abkkdinf-1,abkkdinf-1,6
abkkhhbb-1,abkkhhbb-1,13
abklbnbf-1,abklbnbf-1,11
abklipma-1,abklipma-1,5
abkllcjl-1,abkllcjl-1,5
abklpmhh-1,abklpmhh-1,12
abkmnbjc-1,abkmnbjc-1,2
abknfhjm-1,abknfhjm-1,2
abkpmmnp-1,abkpmmnp-1,5
ablabcne-1,ablabcne-1,5
ablaoghe-1,ablaoghe-1,6
ablapibn-1,ablapibn-1,5
ablchamb-1,ablchamb-1,6
abldgcja-1,abldgcja-1,5
abldggog-1,abldggog-1,6
ablemahd-1,ablemahd-1,6
ablfdlba-1,ablfdlba-1,6
ablhadaa-1,ablhadaa-1,6
ablheifk-1,ablheifk-1,2
abliffdo-1,abliffdo-1,2
abliicag-1,abliicag-1,12
abljcdcb-1,abljcdcb-1,0
abljhhfb-1,abljhhfb-1,12
ablkbmcn-1,ablkbmcn-1,12
abllhbmo-1,abllhbmo-1,12
ablmdjad-1,ablmdjad-1,12
ablmfabp-1,ablmfabp-1,5
ablokfam-1,ablokfam-1,2
ablpggke-1,ablpggke-1,2
abmbhbnj-1,abmbhbnj-1,2
abmcgdgm-1,abmcgdgm-1,17
abmcjacn-1,abmcjacn-1,5
abmcpbce-1,abmcpbce-1,2
abmdnjcc-1,abmdnjcc-1,2
abmefhio-1,abmefhio-1,12
abmfmdda-1,abmfmdda-1,0
abmfoncf-1,abmfoncf-1,2
abmgbpmk-1,abmgbpmk-1,5
abmhlljk-1,abmhlljk-1,12
abmjiolp-1,abmjiolp-1,12
abmjnmga-1,abmjnmga-1,2
abmjodka-1,abmjodka-1,2
abmkbenf-1,abmkbenf-1,2
abmndlnf-1,abmndlnf-1,2
abmpmign-1,abmpmign-1,12
abnbjmcd-1,abnbjmcd-1,0
abnbmgpj-1,abnbmgpj-1,2
abnbndlc-1,abnbndlc-1,11
abncemmf-1,abncemmf-1,11
abncmfaa-1,abncmfaa-1,13
abnegnck-1,abnegnck-1,13
abnekbij-1,abnekbij-1,0
abneliea-1,abneliea-1,2
abneoage-1,abneoage-1,2
abnhlpjj-1,abnhlpjj-1,4
abnhpmio-1,abnhpmio-1,2
abnibboh-1,abnibboh-1,2
abnipehm-1,abnipehm-1,2
abnkleci-1,abnkleci-1,2
abnllejf-1,abnllejf-1,2
abnmacia-1,abnmacia-1,2
abnpmlbb-1,abnpmlbb-1,2
abnpnech-1,abnpnech-1,2
abobabpf-1,abobabpf-1,2
abobadji-1,abobadji-1,12
abobadlj-1,abobadlj-1,8
abobngac-1,abobngac-1,6
abodelpa-1,abodelpa-1,6
aboebalk-1,aboebalk-1,12
aboedklj-1,aboedklj-1,12
abofocgh-1,abofocgh-1,12
abogfjgf-1,abogfjgf-1,12
abojjooo-1,abojjooo-1,0
abokdlib-1,abokdlib-1,2
abokippe-1,abokippe-1,2
abolfkei-1,abolfkei-1,2
abonijjm-1,abonijjm-1,4
abonkjgj-1,abonkjgj-1,1
aboommaa-1,aboommaa-1,1
abpaedih-1,abpaedih-1,2
abpahepb-1,abpahepb-1,2
abpblfce-1,abpblfce-1,1
abpcmifh-1,abpcmifh-1,2
abpekpie-1,abpekpie-1,12
abpemikg-1,abpemikg-1,12
abpjndpk-1,abpjndpk-1,12
abpjockd-1,abpjockd-1,12
abpkaihf-1,abpkaihf-1,12
abpkkimk-1,abpkkimk-1,12
abpmbgob-1,abpmbgob-1,12
abpmdajm-1,abpmdajm-1,2
abpmknfp-1,abpmknfp-1,2
abpmnabh-1,abpmnabh-1,11
abpncceg-1,abpncceg-1,11
abpnnjma-1,abpnnjma-1,11
abpollap-1,abpollap-1,11
abppddik-1,abppddik-1,11
acaadnkm-1,acaadnkm-1,5
acaagdeb-1,acaagdeb-1,2
acaahcjo-1,acaahcjo-1,13
acaahdim-1,acaahdim-1,13
acaalhlp-1,acaalhlp-1,11
acadcklk-1,acadcklk-1,11
acadeokk-1,acadeokk-1,11
acadjkej-1,acadjkej-1,13
acadmjin-1,acadmjin-1,13
acaenida-1,acaenida-1,13
acafibgm-1,acafibgm-1,11
acafnibj-1,acafnibj-1,0
acafoegb-1,acafoegb-1,0
acagmkck-1,acagmkck-1,11
acaiijcb-1,acaiijcb-1,0
acajhpjd-1,acajhpjd-1,11
acaocned-1,acaocned-1,11
acaogkcl-1,acaogkcl-1,11
acbbfofa-1,acbbfofa-1,11
acbbkkmi-1,acbbkkmi-1,11
acbcjdll-1,acbcjdll-1,11
acbdbngj-1,acbdbngj-1,11
acbfombi-1,acbfombi-1,17
acbgbige-1,acbgbige-1,11
acbgjnbp-1,acbgjnbp-1,11
acbgmjmi-1,acbgmjmi-1,11
acbgpimp-1,acbgpimp-1,11
acbhgffo-1,acbhgffo-1,11
acbhjhkp-1,acbhjhkp-1,0
acbibjlf-1,acbibjlf-1,0
acbimhlb-1,acbimhlb-1,0
acbjfffg-1,acbjfffg-1,11
acbkapbn-1,acbkapbn-1,11
acbkphjg-1,acbkphjg-1,2
acbldcoh-1,acbldcoh-1,2
acbleodo-1,acbleodo-1,2
acbloafd-1,acbloafd-1,2
acbncdhf-1,acbncdhf-1,2
acbnlbng-1,acbnlbng-1,2
acboflnm-1,acboflnm-1,2
acbpmlhm-1,acbpmlhm-1,0
acccbkla-1,acccbkla-1,2
acccdeld-1,acccdeld-1,2
accdnljo-1,accdnljo-1,0
accecckp-1,accecckp-1,0
acceikhh-1,acceikhh-1,17
accfnkgp-1,accfnkgp-1,17
accgaldi-1,accgaldi-1,12
acchabdc-1,acchabdc-1,2
acchpplc-1,acchpplc-1,0
accipehi-1,accipehi-1,0
accjfiae-1,accjfiae-1,5
acckdoam-1,acckdoam-1,0
acckjgbb-1,acckjgbb-1,0
acckmlcg-1,acckmlcg-1,5
accknmlc-1,accknmlc-1,0
acclefhb-1,acclefhb-1,12
accmlnjc-1,accmlnjc-1,0
accnkmhj-1,accnkmhj-1,5
accnnfci-1,accnnfci-1,0
accpfcff-1,accpfcff-1,0
accpknci-1,accpknci-1,0
acdbdahk-1,acdbdahk-1,17
acdcdeoo-1,acdcdeoo-1,2
acdclnhi-1,acdclnhi-1,5
acdcmdij-1,acdcmdij-1,5
acdebele-1,acdebele-1,5
acdecmdf-1,acdecmdf-1,2
acdfbegn-1,acdfbegn-1,0
acdhfmof-1,acdhfmof-1,12
acdhibfg-1,acdhibfg-1,12
