,cell_id,banksy_leiden_0.7
aamekoid-1,aamekoid-1,11
aamffgdd-1,aamffgdd-1,11
aamfndkk-1,aamfndkk-1,11
aamgmbck-1,aamgmbck-1,12
aamgnmao-1,aamgnmao-1,11
aamhgfbh-1,aamhgfbh-1,0
aamiaeep-1,aamiaeep-1,12
aamiibnk-1,aamiibnk-1,11
aamjcmlh-1,aamjcmlh-1,11
aamjcoda-1,aamjcoda-1,11
aamjennb-1,aamjennb-1,11
aamkcggd-1,aamkcggd-1,11
aamkkeii-1,aamkkeii-1,11
aamkmjff-1,aamkmjff-1,2
aamlbloh-1,aamlbloh-1,2
aamlpgpj-1,aamlpgpj-1,11
aammbbbd-1,aammbbbd-1,11
aamndoml-1,aamndoml-1,2
aamoafjd-1,aamoafjd-1,0
aamobfoj-1,aamobfoj-1,11
aampocgn-1,aampocgn-1,11
aanaheai-1,aanaheai-1,11
aanbhnkg-1,aanbhnkg-1,0
aanbkjdn-1,aanbkjdn-1,11
aanboidp-1,aanboidp-1,11
aanchpom-1,aanchpom-1,11
aanckjkg-1,aanckjkg-1,11
aanckkmp-1,aanckkmp-1,11
aancplbo-1,aancplbo-1,11
aandfbfh-1,aandfbfh-1,11
aandljkf-1,aandljkf-1,11
aaneidgh-1,aaneidgh-1,11
aaneifnk-1,aaneifnk-1,11
aaneofik-1,aaneofik-1,11
aanfafjd-1,aanfafjd-1,11
aanfbfnd-1,aanfbfnd-1,11
aanhdjgi-1,aanhdjgi-1,11
aanhefhd-1,aanhefhd-1,11
aanhhkdd-1,aanhhkdd-1,2
aanhjkkk-1,aanhjkkk-1,2
aanhlnch-1,aanhlnch-1,2
aanhmfff-1,aanhmfff-1,11
aanhohok-1,aanhohok-1,11
aaniammd-1,aaniammd-1,3
aanihgke-1,aanihgke-1,11
aanjedge-1,aanjedge-1,11
aanjngag-1,aanjngag-1,11
aankeino-1,aankeino-1,11
aanlanfl-1,aanlanfl-1,11
aanlffda-1,aanlffda-1,11
aanlnfhm-1,aanlnfhm-1,11
aanmooij-1,aanmooij-1,11
aanoafli-1,aanoafli-1,11
aanocbgm-1,aanocbgm-1,11
aanpeeip-1,aanpeeip-1,11
aanpjbpm-1,aanpjbpm-1,11
aanpnpmf-1,aanpnpmf-1,11
aaoaeech-1,aaoaeech-1,11
aaoafjkd-1,aaoafjkd-1,11
aaoaikki-1,aaoaikki-1,11
aaoamapb-1,aaoamapb-1,11
aaoblfjm-1,aaoblfjm-1,11
aaobmlgc-1,aaobmlgc-1,6
aaochhab-1,aaochhab-1,6
aaocnlcd-1,aaocnlcd-1,6
aaodjaki-1,aaodjaki-1,5
aaoemdal-1,aaoemdal-1,5
aaoemlel-1,aaoemlel-1,5
aaofalcc-1,aaofalcc-1,6
aaofccle-1,aaofccle-1,6
aaogbbbn-1,aaogbbbn-1,6
aaogcmjc-1,aaogcmjc-1,5
aaogldeh-1,aaogldeh-1,0
aaohchle-1,aaohchle-1,5
aaohdapk-1,aaohdapk-1,0
aaohefjj-1,aaohefjj-1,11
aaohenha-1,aaohenha-1,11
aaohiaoh-1,aaohiaoh-1,11
aaohmnnb-1,aaohmnnb-1,11
aaohoagj-1,aaohoagj-1,0
aaoibkof-1,aaoibkof-1,0
aaoicbin-1,aaoicbin-1,11
aaoiioeo-1,aaoiioeo-1,11
aaojgmmg-1,aaojgmmg-1,11
aaojhndf-1,aaojhndf-1,11
aaojjfog-1,aaojjfog-1,11
aaojjoma-1,aaojjoma-1,11
aaokebmc-1,aaokebmc-1,11
aaokehfd-1,aaokehfd-1,11
aaokoahh-1,aaokoahh-1,11
aaolbeec-1,aaolbeec-1,11
aaolbjkd-1,aaolbjkd-1,11
aaoljkac-1,aaoljkac-1,11
aaollmfm-1,aaollmfm-1,11
aaomaefh-1,aaomaefh-1,11
aaomgkbg-1,aaomgkbg-1,11
aaomheak-1,aaomheak-1,11
aaomiafh-1,aaomiafh-1,11
aaonigog-1,aaonigog-1,11
aaonncgp-1,aaonncgp-1,11
aaooaddd-1,aaooaddd-1,11
aaoohjak-1,aaoohjak-1,5
aaoomomf-1,aaoomomf-1,5
aaoonmil-1,aaoonmil-1,0
aaopcaom-1,aaopcaom-1,0
aaopcnmo-1,aaopcnmo-1,0
aaopjhpm-1,aaopjhpm-1,11
aaopmknl-1,aaopmknl-1,11
aapafkpf-1,aapafkpf-1,11
aapaphop-1,aapaphop-1,11
aapbfngn-1,aapbfngn-1,11
aapcbkjf-1,aapcbkjf-1,11
aapcdalf-1,aapcdalf-1,11
aapckjbl-1,aapckjbl-1,11
aapclhnh-1,aapclhnh-1,11
aapclieg-1,aapclieg-1,11
aapcoeki-1,aapcoeki-1,11
aapdcopf-1,aapdcopf-1,11
aapdpdph-1,aapdpdph-1,11
aapdpfin-1,aapdpfin-1,11
aapedoif-1,aapedoif-1,11
aapegnej-1,aapegnej-1,11
aapehepf-1,aapehepf-1,11
aapejndn-1,aapejndn-1,11
aapekjgg-1,aapekjgg-1,0
aapfacea-1,aapfacea-1,0
aapfbhha-1,aapfbhha-1,2
aapfgalc-1,aapfgalc-1,2
aapfjane-1,aapfjane-1,0
aapgcmlc-1,aapgcmlc-1,0
aapgekhd-1,aapgekhd-1,0
aapgjkpa-1,aapgjkpa-1,0
aapgkbgk-1,aapgkbgk-1,0
aaphcmjo-1,aaphcmjo-1,0
aaphhmjd-1,aaphhmjd-1,0
aaphmbml-1,aaphmbml-1,0
aapiabcj-1,aapiabcj-1,2
aapiclnb-1,aapiclnb-1,2
aapifmpe-1,aapifmpe-1,2
aapijnno-1,aapijnno-1,2
aapiopcl-1,aapiopcl-1,0
aapjgcbe-1,aapjgcbe-1,2
aapjioeb-1,aapjioeb-1,0
aapjjbod-1,aapjjbod-1,0
aapjknbd-1,aapjknbd-1,0
aapjnlpg-1,aapjnlpg-1,0
aaplcpdb-1,aaplcpdb-1,0
aapllmmn-1,aapllmmn-1,2
aapmcace-1,aapmcace-1,0
aapmmhjd-1,aapmmhjd-1,2
aapnmnji-1,aapnmnji-1,0
aapnohim-1,aapnohim-1,0
aapnpejm-1,aapnpejm-1,0
aapokiaa-1,aapokiaa-1,0
aappciog-1,aappciog-1,0
aappeoim-1,aappeoim-1,0
abaabece-1,abaabece-1,0
abaajjif-1,abaajjif-1,0
abaalkkb-1,abaalkkb-1,0
abaapcee-1,abaapcee-1,11
ababbehb-1,ababbehb-1,11
ababggeb-1,ababggeb-1,11
ababkbpn-1,ababkbpn-1,11
abacajpn-1,abacajpn-1,11
abacidlb-1,abacidlb-1,5
abaclfmn-1,abaclfmn-1,5
abaddelf-1,abaddelf-1,5
abadfdki-1,abadfdki-1,2
abadfgod-1,abadfgod-1,0
abadfigk-1,abadfigk-1,0
abadijna-1,abadijna-1,2
abadooec-1,abadooec-1,11
abaeenpm-1,abaeenpm-1,11
abaemijd-1,abaemijd-1,11
abafbghm-1,abafbghm-1,11
abafjieg-1,abafjieg-1,11
abagakgj-1,abagakgj-1,2
abagcmmp-1,abagcmmp-1,11
abaglcgd-1,abaglcgd-1,11
abagnfao-1,abagnfao-1,11
abagpkal-1,abagpkal-1,11
abahgmhm-1,abahgmhm-1,11
abahjnmj-1,abahjnmj-1,11
abahngpc-1,abahngpc-1,11
abaigfdp-1,abaigfdp-1,5
abaihhan-1,abaihhan-1,6
abaiippa-1,abaiippa-1,0
abajeepj-1,abajeepj-1,0
