,cell_id,banksy_leiden_0.7
aanihcfg-1,aanihcfg-1,20
aanjcafd-1,aanjcafd-1,20
aanjealg-1,aanjealg-1,16
aanjgacj-1,aanjgacj-1,16
aankklnb-1,aankklnb-1,16
aanlfooj-1,aanlfooj-1,16
aannfbni-1,aannfbni-1,16
aannnleo-1,aannnleo-1,16
aanpdnmd-1,aanpdnmd-1,16
aaoaglel-1,aaoaglel-1,12
aaoanplp-1,aaoanplp-1,6
aaoapofb-1,aaoapofb-1,23
aaobadom-1,aaobadom-1,8
aaodbled-1,aaodbled-1,23
aaodcclk-1,aaodcclk-1,6
aaodjeof-1,aaodjeof-1,6
aaoeogeh-1,aaoeogeh-1,6
aaofigbl-1,aaofigbl-1,6
aaofimda-1,aaofimda-1,6
aaogblhb-1,aaogblhb-1,6
aaohhpai-1,aaohhpai-1,6
aaohkooe-1,aaohkooe-1,5
aaoigehc-1,aaoigehc-1,6
aaojbnhl-1,aaojbnhl-1,6
aaojkkia-1,aaojkkia-1,6
aaojodla-1,aaojodla-1,23
aaokipfk-1,aaokipfk-1,6
aaomoaad-1,aaomoaad-1,23
aaongmlj-1,aaongmlj-1,6
aaonipen-1,aaonipen-1,6
aapbaijk-1,aapbaijk-1,6
aapbdfic-1,aapbdfic-1,6
aapbfkfe-1,aapbfkfe-1,5
aapbmdgi-1,aapbmdgi-1,5
aapcibmd-1,aapcibmd-1,0
aapfbhfl-1,aapfbhfl-1,16
aapfhhjf-1,aapfhhjf-1,5
aapghapm-1,aapghapm-1,12
aapgmepc-1,aapgmepc-1,10
aapgplle-1,aapgplle-1,12
aapgppcp-1,aapgppcp-1,20
aapianfh-1,aapianfh-1,20
aapienld-1,aapienld-1,5
aapiikjg-1,aapiikjg-1,20
aapjebch-1,aapjebch-1,5
aapjlhnf-1,aapjlhnf-1,6
aapjohcl-1,aapjohcl-1,5
aapjooej-1,aapjooej-1,5
aapkcjee-1,aapkcjee-1,6
aapkkega-1,aapkkega-1,5
aapkkhjf-1,aapkkhjf-1,5
aapknbnn-1,aapknbnn-1,2
aapkpnhh-1,aapkpnhh-1,5
aaplgkgm-1,aaplgkgm-1,5
aaplopfi-1,aaplopfi-1,6
aapmpngo-1,aapmpngo-1,6
aapnggjn-1,aapnggjn-1,6
aapnhggm-1,aapnhggm-1,6
aapoefme-1,aapoefme-1,6
abaaaipl-1,abaaaipl-1,0
abadlanf-1,abadlanf-1,2
abaelabi-1,abaelabi-1,2
abafcfmi-1,abafcfmi-1,2
abaicgbg-1,abaicgbg-1,6
abaielnc-1,abaielnc-1,5
abaigehk-1,abaigehk-1,6
abajehbl-1,abajehbl-1,6
abakhbhg-1,abakhbhg-1,6
abaklian-1,abaklian-1,6
abamclle-1,abamclle-1,6
abamdlpc-1,abamdlpc-1,20
abamdmfa-1,abamdmfa-1,2
abanhdfp-1,abanhdfp-1,12
abanimoi-1,abanimoi-1,12
abanobkd-1,abanobkd-1,2
abaogjdi-1,abaogjdi-1,12
abaphcpm-1,abaphcpm-1,2
abapnbep-1,abapnbep-1,14
abbaolha-1,abbaolha-1,2
abbbgkah-1,abbbgkah-1,2
abbbieea-1,abbbieea-1,16
abbblgjd-1,abbblgjd-1,16
abbbpeke-1,abbbpeke-1,2
abbcdjjh-1,abbcdjjh-1,16
abbcfbbd-1,abbcfbbd-1,2
abbcmpcn-1,abbcmpcn-1,16
abbdblcj-1,abbdblcj-1,2
abbejcgb-1,abbejcgb-1,2
abbgmome-1,abbgmome-1,15
abbihmaj-1,abbihmaj-1,15
abbikbkl-1,abbikbkl-1,2
abbjabip-1,abbjabip-1,16
abbjahfi-1,abbjahfi-1,16
abbkjhmg-1,abbkjhmg-1,16
abblofbn-1,abblofbn-1,16
abbnggco-1,abbnggco-1,6
abbngnkd-1,abbngnkd-1,6
abbocohg-1,abbocohg-1,6
abbogfph-1,abbogfph-1,16
abbomefk-1,abbomefk-1,16
abbpogll-1,abbpogll-1,16
abcacobi-1,abcacobi-1,16
abcagpkc-1,abcagpkc-1,16
abcaonnh-1,abcaonnh-1,16
abccjmnf-1,abccjmnf-1,16
abcdilkl-1,abcdilkl-1,16
abcebkga-1,abcebkga-1,16
abcfbmhm-1,abcfbmhm-1,4
abcgojpd-1,abcgojpd-1,4
abcmimbh-1,abcmimbh-1,16
abcneoae-1,abcneoae-1,16
abcnfhef-1,abcnfhef-1,16
abdackmh-1,abdackmh-1,16
abdakonb-1,abdakonb-1,16
abdddjga-1,abdddjga-1,16
abdeihkg-1,abdeihkg-1,16
abdekbfp-1,abdekbfp-1,12
abdekblh-1,abdekblh-1,6
abdffgcl-1,abdffgcl-1,6
abdfgakc-1,abdfgakc-1,6
abdghdlk-1,abdghdlk-1,12
abdhagok-1,abdhagok-1,12
abdhmjkl-1,abdhmjkl-1,16
abdjfibl-1,abdjfibl-1,16
abdlkmal-1,abdlkmal-1,16
abdlmhnc-1,abdlmhnc-1,16
abdnbdck-1,abdnbdck-1,16
abdngoal-1,abdngoal-1,16
abdnhccj-1,abdnhccj-1,16
abdojbbg-1,abdojbbg-1,16
abdokkhb-1,abdokkhb-1,6
abdpfjfc-1,abdpfjfc-1,21
abdppffg-1,abdppffg-1,6
