,cell_id,banksy_leiden_0.7
aallmpkd-1,aallmpkd-1,10
aallpijn-1,aallpijn-1,10
aalmepek-1,aalmepek-1,10
aalmgaef-1,aalmgaef-1,10
aalmgbno-1,aalmgbno-1,10
aalmicka-1,aalmicka-1,10
aalndegg-1,aalndegg-1,10
aalnlnlg-1,aalnlnlg-1,10
aalnmnln-1,aalnmnln-1,10
aalnongn-1,aalnongn-1,10
aaloaaek-1,aaloaaek-1,10
aalodagk-1,aalodagk-1,10
aalofkln-1,aalofkln-1,10
aalolkeg-1,aalolkeg-1,10
aalpbjgj-1,aalpbjgj-1,10
aalphlkh-1,aalphlkh-1,10
aalpnbhg-1,aalpnbhg-1,10
aamagpaa-1,aamagpaa-1,10
aamahgen-1,aamahgen-1,10
aamamjjk-1,aamamjjk-1,10
aamandfc-1,aamandfc-1,10
aambaffb-1,aambaffb-1,10
aambfoja-1,aambfoja-1,10
aambgaol-1,aambgaol-1,10
aambomfl-1,aambomfl-1,10
aamcaneo-1,aamcaneo-1,10
aamcgiaf-1,aamcgiaf-1,10
aamdkobk-1,aamdkobk-1,10
aamdlkka-1,aamdlkka-1,10
aamebkmb-1,aamebkmb-1,10
aameheph-1,aameheph-1,10
aamehiil-1,aamehiil-1,10
aameiojd-1,aameiojd-1,10
aameipab-1,aameipab-1,10
aamelbgk-1,aamelbgk-1,10
aamemlpp-1,aamemlpp-1,10
aamepngo-1,aamepngo-1,10
aamffeli-1,aamffeli-1,10
aamfkdin-1,aamfkdin-1,10
aamfklho-1,aamfklho-1,10
aamflida-1,aamflida-1,10
aamgbeho-1,aamgbeho-1,10
aamghkha-1,aamghkha-1,10
aamgpdfd-1,aamgpdfd-1,10
aamhcfcf-1,aamhcfcf-1,10
aamhfhbo-1,aamhfhbo-1,10
aamifibf-1,aamifibf-1,10
aamiifgi-1,aamiifgi-1,10
aamiihho-1,aamiihho-1,10
aamijjll-1,aamijjll-1,7
aamipbgn-1,aamipbgn-1,10
aamjfbfm-1,aamjfbfm-1,10
aamjkkpf-1,aamjkkpf-1,10
aamkimnp-1,aamkimnp-1,10
aamkobal-1,aamkobal-1,10
aamlpjdk-1,aamlpjdk-1,10
aamlplkl-1,aamlplkl-1,10
aammbdbm-1,aammbdbm-1,10
aammcdcm-1,aammcdcm-1,4
aammhkok-1,aammhkok-1,10
aammiefc-1,aammiefc-1,10
aammimfg-1,aammimfg-1,4
aammpddo-1,aammpddo-1,10
aamnabdo-1,aamnabdo-1,10
aamnegao-1,aamnegao-1,10
aamnjfcg-1,aamnjfcg-1,10
aamnmdbp-1,aamnmdbp-1,10
aamoaapb-1,aamoaapb-1,10
aamoeajm-1,aamoeajm-1,10
aamoiphh-1,aamoiphh-1,10
aamoleok-1,aamoleok-1,10
aampebkk-1,aampebkk-1,1
aampgdoa-1,aampgdoa-1,1
aampjamp-1,aampjamp-1,1
aanabdpg-1,aanabdpg-1,1
aanajamo-1,aanajamo-1,4
aanalkpp-1,aanalkpp-1,4
aanamdnp-1,aanamdnp-1,4
aanaplag-1,aanaplag-1,4
aanbdpip-1,aanbdpip-1,4
aanbfclg-1,aanbfclg-1,10
aancapdi-1,aancapdi-1,10
aancbngh-1,aancbngh-1,10
aancdpml-1,aancdpml-1,10
aanckjod-1,aanckjod-1,3
aandljab-1,aandljab-1,3
aandpdam-1,aandpdam-1,3
aanefmdg-1,aanefmdg-1,10
aanenjnl-1,aanenjnl-1,10
aanfekjf-1,aanfekjf-1,4
aangcmij-1,aangcmij-1,10
aanggmph-1,aanggmph-1,4
aangjdnf-1,aangjdnf-1,10
aangklbk-1,aangklbk-1,10
aanhhmna-1,aanhhmna-1,10
aanilbpl-1,aanilbpl-1,10
aanjdllg-1,aanjdllg-1,10
aanjkbbl-1,aanjkbbl-1,4
aanjmapb-1,aanjmapb-1,10
aanlcbcd-1,aanlcbcd-1,10
aanlfmni-1,aanlfmni-1,10
aanlmadm-1,aanlmadm-1,10
aanlogjd-1,aanlogjd-1,10
aanmldfn-1,aanmldfn-1,10
aannefjc-1,aannefjc-1,10
aannfphi-1,aannfphi-1,10
aannglik-1,aannglik-1,10
aannnbge-1,aannnbge-1,10
aanogpne-1,aanogpne-1,10
aanojaca-1,aanojaca-1,10
aanojjbh-1,aanojjbh-1,10
aanplmdi-1,aanplmdi-1,10
aanplobd-1,aanplobd-1,10
aaoaafgk-1,aaoaafgk-1,10
aaoaaglk-1,aaoaaglk-1,10
aaoagfki-1,aaoagfki-1,10
aaoahmap-1,aaoahmap-1,10
aaoanpom-1,aaoanpom-1,10
aaoapefb-1,aaoapefb-1,4
aaobbelk-1,aaobbelk-1,4
aaobddbm-1,aaobddbm-1,10
aaoblpha-1,aaoblpha-1,10
aaobpedg-1,aaobpedg-1,10
aaocdgjk-1,aaocdgjk-1,10
aaoceehg-1,aaoceehg-1,10
aaochddk-1,aaochddk-1,10
aaocknjh-1,aaocknjh-1,10
aaocmbkj-1,aaocmbkj-1,10
aaodmcoc-1,aaodmcoc-1,10
aaododed-1,aaododed-1,10
aaoeoilc-1,aaoeoilc-1,10
aaogekcl-1,aaogekcl-1,10
aaogfiac-1,aaogfiac-1,10
aaogjgee-1,aaogjgee-1,10
aaognhdp-1,aaognhdp-1,10
aaohccdc-1,aaohccdc-1,10
aaohgcmj-1,aaohgcmj-1,10
aaohiamd-1,aaohiamd-1,10
aaohkgbi-1,aaohkgbi-1,10
aaohogdc-1,aaohogdc-1,10
aaoicabf-1,aaoicabf-1,10
aaoikicg-1,aaoikicg-1,10
aaoimpio-1,aaoimpio-1,10
aaojgeak-1,aaojgeak-1,10
aaojolhp-1,aaojolhp-1,10
aaokbcom-1,aaokbcom-1,10
aaokphda-1,aaokphda-1,10
aaoloakn-1,aaoloakn-1,10
aaomngil-1,aaomngil-1,10
aaonajfh-1,aaonajfh-1,10
aaonfabl-1,aaonfabl-1,10
aaonfmib-1,aaonfmib-1,10
aaonppoh-1,aaonppoh-1,10
aaoobgal-1,aaoobgal-1,10
aaooglbn-1,aaooglbn-1,10
aaoolkhf-1,aaoolkhf-1,10
aaoooecb-1,aaoooecb-1,10
aaopgagl-1,aaopgagl-1,10
aaopghgn-1,aaopghgn-1,10
aapalejc-1,aapalejc-1,10
aapamloo-1,aapamloo-1,10
aapbcfhp-1,aapbcfhp-1,10
aapbcjeh-1,aapbcjeh-1,10
aapbdkga-1,aapbdkga-1,10
aapbeljj-1,aapbeljj-1,10
aapbihcb-1,aapbihcb-1,10
aapbnbnl-1,aapbnbnl-1,10
aapbodde-1,aapbodde-1,10
aapbokmo-1,aapbokmo-1,10
aapcgfna-1,aapcgfna-1,10
aapchefe-1,aapchefe-1,10
aapcocni-1,aapcocni-1,10
aapdbgdm-1,aapdbgdm-1,10
aapecomn-1,aapecomn-1,10
aapeijip-1,aapeijip-1,10
aapfbjdo-1,aapfbjdo-1,10
aapfciia-1,aapfciia-1,10
aapfiiio-1,aapfiiio-1,10
