,cell_id,banksy_leiden_0.7
aaefaaeb-1,aaefaaeb-1,0
aaefaaga-1,aaefaaga-1,0
aaefbjil-1,aaefbjil-1,10
aaeffahc-1,aaeffahc-1,10
aaeffmfa-1,aaeffmfa-1,10
aaefhggk-1,aaefhggk-1,10
aaefijep-1,aaefijep-1,10
aaefjamk-1,aaefjamk-1,10
aaefmjbd-1,aaefmjbd-1,10
aaeglgjd-1,aaeglgjd-1,10
aaehcjbl-1,aaehcjbl-1,10
aaehddla-1,aaehddla-1,10
aaeheijj-1,aaeheijj-1,10
aaeheinh-1,aaeheinh-1,10
aaehfclb-1,aaehfclb-1,10
aaehgage-1,aaehgage-1,10
aaeiapna-1,aaeiapna-1,10
aaeieibl-1,aaeieibl-1,10
aaeifjbd-1,aaeifjbd-1,10
aaeiiflc-1,aaeiiflc-1,10
aaeikhmg-1,aaeikhmg-1,10
aaeincao-1,aaeincao-1,10
aaejelfa-1,aaejelfa-1,10
aaejlcem-1,aaejlcem-1,10
aaejncfh-1,aaejncfh-1,10
aaekdjhd-1,aaekdjhd-1,10
aaekdnkf-1,aaekdnkf-1,4
aaekelda-1,aaekelda-1,10
aaekfnbl-1,aaekfnbl-1,10
aaekhfoh-1,aaekhfoh-1,4
aaekikfa-1,aaekikfa-1,10
aaekligf-1,aaekligf-1,10
aaelaadk-1,aaelaadk-1,10
aaelbajg-1,aaelbajg-1,10
aaelccal-1,aaelccal-1,10
aaellfcl-1,aaellfcl-1,10
aaelpjid-1,aaelpjid-1,10
aaemehdk-1,aaemehdk-1,10
aaemeinh-1,aaemeinh-1,10
aaemgblf-1,aaemgblf-1,10
aaemhegg-1,aaemhegg-1,10
aaemjcil-1,aaemjcil-1,10
aaemjjnn-1,aaemjjnn-1,10
aaemjpme-1,aaemjpme-1,10
aaemmbho-1,aaemmbho-1,10
aaemnokl-1,aaemnokl-1,10
aaemocod-1,aaemocod-1,10
aaenbdfj-1,aaenbdfj-1,10
aaencnmo-1,aaencnmo-1,10
aaendhel-1,aaendhel-1,10
aaenhhal-1,aaenhhal-1,10
aaennhil-1,aaennhil-1,10
aaennjnn-1,aaennjnn-1,10
aaeoehjj-1,aaeoehjj-1,10
aaeonkok-1,aaeonkok-1,10
aaepdope-1,aaepdope-1,10
aaepfkof-1,aaepfkof-1,10
aaepndll-1,aaepndll-1,10
aafaieak-1,aafaieak-1,4
aafaiikm-1,aafaiikm-1,4
aafakadi-1,aafakadi-1,4
aafamfbg-1,aafamfbg-1,4
aafbdnjk-1,aafbdnjk-1,10
aafbfhlp-1,aafbfhlp-1,10
aafbfkjg-1,aafbfkjg-1,10
aafbhcci-1,aafbhcci-1,10
aafbioan-1,aafbioan-1,10
aafbmmfe-1,aafbmmfe-1,10
aafbpbng-1,aafbpbng-1,10
aafcbkgp-1,aafcbkgp-1,10
aafcdefl-1,aafcdefl-1,10
aafcgped-1,aafcgped-1,10
aafckdeh-1,aafckdeh-1,10
aafcohde-1,aafcohde-1,10
aafdbmek-1,aafdbmek-1,10
aafdbmmi-1,aafdbmmi-1,10
aafdcaei-1,aafdcaei-1,10
aafddcmc-1,aafddcmc-1,10
aafddhld-1,aafddhld-1,4
aafddpfo-1,aafddpfo-1,10
aafdffnc-1,aafdffnc-1,10
aafdfhbj-1,aafdfhbj-1,10
aafeafhn-1,aafeafhn-1,10
aafecogd-1,aafecogd-1,10
aafeebla-1,aafeebla-1,10
aafeffib-1,aafeffib-1,10
aafegdnj-1,aafegdnj-1,10
aafenoca-1,aafenoca-1,4
aafeopbh-1,aafeopbh-1,10
aafflmgb-1,aafflmgb-1,10
aaffohlm-1,aaffohlm-1,4
aafgbjcc-1,aafgbjcc-1,10
aafgdplp-1,aafgdplp-1,10
aafghlpf-1,aafghlpf-1,10
aafghlpl-1,aafghlpl-1,10
aafgkbgb-1,aafgkbgb-1,10
aafgojjl-1,aafgojjl-1,10
aafhehnk-1,aafhehnk-1,10
aafhkeni-1,aafhkeni-1,10
aafhnadg-1,aafhnadg-1,10
aafiagej-1,aafiagej-1,10
aaficbco-1,aaficbco-1,10
aafieclg-1,aafieclg-1,10
aafijlba-1,aafijlba-1,10
aafjdehm-1,aafjdehm-1,10
aafjedpj-1,aafjedpj-1,10
aafjlbbf-1,aafjlbbf-1,10
aafjllnc-1,aafjllnc-1,10
aafjmbgf-1,aafjmbgf-1,10
aafkobjg-1,aafkobjg-1,10
aafkpmmg-1,aafkpmmg-1,10
aaflabbh-1,aaflabbh-1,10
aaflbjoo-1,aaflbjoo-1,10
aaflcmph-1,aaflcmph-1,10
aaflepjb-1,aaflepjb-1,10
aaflhfkd-1,aaflhfkd-1,10
aaflipke-1,aaflipke-1,10
aaflmhmi-1,aaflmhmi-1,10
aaflmhmo-1,aaflmhmo-1,10
aaflnkpc-1,aaflnkpc-1,10
aafmipmc-1,aafmipmc-1,10
aafmmjmh-1,aafmmjmh-1,10
aafmolee-1,aafmolee-1,10
aafnafeo-1,aafnafeo-1,10
aafnanjo-1,aafnanjo-1,10
aafobjki-1,aafobjki-1,10
aafoghki-1,aafoghki-1,10
aafoheig-1,aafoheig-1,10
