#Selection names:,"Selection 1, Selection 2, Selection 3"
"#Areas (µm^2): 13809816.7, 9202741.8, 2395626.8"
Selection,X,Y
Selection 3,11618.798150086604,5786.179482807914
Selection 3,11559.046931287487,5956.993408993604
Selection 3,11493.160080401978,6076.081626704149
Selection 3,11395.352409421448,6169.332878920102
Selection 3,11289.28622943012,6203.6095746263545
Selection 3,11145.474262173148,6147.741667274321
Selection 3,11062.371397205572,6027.695566073495
Selection 3,11035.861324393485,5898.096518712845
Selection 3,10988.070704851383,5766.529926885673
Selection 3,10929.303258285528,5659.091643516377
Selection 3,10853.16446517972,5564.804841581202
Selection 3,10815.988230259647,5463.502190298297
Selection 3,10793.853355011273,5352.517149140665
Selection 3,10757.919779754266,5236.354359386923
Selection 3,10724.031415192721,5129.97751447983
Selection 3,10665.212191140905,5018.888918350275
Selection 3,10575.766584143093,4897.289492570617
Selection 3,10459.163685758682,4844.605900605191
Selection 3,10278.641480955283,4819.830373572801
Selection 3,10117.587610873261,4815.55873098101
Selection 3,10015.11996615623,4816.904945615999
Selection 3,9800.890617992152,4856.954831006915
Selection 3,9679.058193525669,4795.960952544731
Selection 3,9777.38363936581,4722.669921166786
Selection 3,9906.879131754538,4598.585176060993
Selection 3,10037.177175175662,4412.67811271764
Selection 3,10004.169027875458,4318.857308156115
Selection 3,9993.192200851701,4196.610663801943
Selection 3,10086.831784212363,4113.973796208017
Selection 3,10234.52706291642,4055.62056952985
